year,month,state,locality,lat,lon,individualCount,dataSource
2021,3,South Australia,,-35.044784,138.507094,1,iNaturalist Australia
2021,11,South Australia,,-35.52263,138.185195,1,iNaturalist Australia
2021,10,New South Wales,,-34.071751,151.147166,1,iNaturalist Australia
2025,1,South Australia,,-35.045367,138.506724,1,iNaturalist Australia
2025,2,Victoria,,-38.356604,144.773671,1,iNaturalist Australia
2022,4,Victoria,,-38.356554,144.773596,1,iNaturalist Australia
2021,8,South Australia,,-35.039872,138.514008,1,iNaturalist Australia
2024,2,New South Wales,,-33.79998,151.297064,1,iNaturalist Australia
2019,4,New South Wales,,-32.716083,152.141541,1,iNaturalist Australia
2018,12,New South Wales,,-34.069583,151.140764,1,iNaturalist Australia
2025,12,Tasmania,,-43.141922,147.96733,1,iNaturalist Australia
2021,3,South Australia,,-34.991367,138.506666,1,iNaturalist Australia
2025,1,Victoria,,-38.272541,144.519882,1,iNaturalist Australia
2026,4,Tasmania,,-43.00722,147.326173,1,iNaturalist Australia
2025,9,Tasmania,,-43.058864,147.330898,1,iNaturalist Australia
2018,1,New South Wales,,-36.855244,149.944539,1,iNaturalist Australia
2007,9,Tasmania,,-41.072677,145.980394,1,iNaturalist Australia
2026,2,New South Wales,,-35.04068,150.674072,1,iNaturalist Australia
2023,2,South Australia,,-35.510077,138.215609,1,iNaturalist Australia
2022,4,Victoria,,-38.357718,144.772476,1,iNaturalist Australia
2021,8,New South Wales,,-33.799437,151.282237,1,iNaturalist Australia
2021,1,Victoria,,-37.932871,144.991472,1,iNaturalist Australia
2023,2,South Australia,,-35.039189,138.512558,1,iNaturalist Australia
2022,4,South Australia,,-35.605678,138.094675,1,iNaturalist Australia
2021,9,New South Wales,,-33.839996,151.253994,1,iNaturalist Australia
2021,3,South Australia,,-35.044784,138.507094,1,iNaturalist Australia
2025,11,Victoria,,-38.269987,144.662995,1,iNaturalist Australia
2022,7,Victoria,,-38.146049,145.114326,1,iNaturalist Australia
